HS부호,적용시작일자,적용종료일자,한글품목명,영문품목명,한국표준무역분류명,수량단위최대단가,중량단위최대단가,수량단위코드,중량단위코드,수출성질코드,수입성질코드,품목규격명,필수규격명,참고규격명,규격설명,규격사항내용,성질통합분류코드,성질통합분류코드명
2918162000,2002-01-01,2022-12-31,글루콘산의 염,Salts of gluconic acid,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918163000,2002-01-01,2022-12-31,글루콘산의 에스테르,Esters of gluconic acid,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918170000,2017-01-01,2022-12-31,"2,2-디페닐-2-하이드록시아세트산(벤질산)","2,2-Diphenyl-2-hydroxyacetic acid (benzilic acid)",,0,0,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918180000,2007-01-01,2022-12-31,클로로벤질레이트(ISO),Chlorobenzilate (ISO),,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
29181910,2016-01-01,2022-12-31,그 밖의 알코올관능의 카르복시산,Other carboxylic acids with alcohol function,,,,,,,,,,,,,,
2918191010,2002-01-01,2022-12-31,말산,Malic acid,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918191090,2002-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918192000,2022-01-01,2022-12-31,그 밖의 알코올관능의 카르복시산의 염,Other salts of carboxylic acids with alcohol function,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918193000,2022-01-01,2022-12-31,그 밖의 알코올관능의 카르복시산의 에스테르,Other esters of carboxylic acids with alcohol function,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918199000,2002-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918210000,2022-01-01,2022-12-31,살리실산과 그 염,Salicylic acid and its salts,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2918220000,2022-01-01,2022-12-31,"오르토-아세틸살리실산, 그 염과 에스테르","O-Acetylsalicylic acid, its salts and esters",,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
